First year,Position,Name,Trimmed,Dupe,Affiliation,Institution,Type
2013,DIRECTORS ,Diane M. Coffey ,Diane M. Coffey,FALSE,Peter J. Solomon Company ,Lincoln Center,Board
2012,DIRECTORS ,Edward P. Gilligan ,Edward P. Gilligan,FALSE,American Express Company ,Lincoln Center,Board
2012,DIRECTORS ,Efraim Grinberg ,Efraim Grinberg,FALSE,"Movado Group, Inc. ",Lincoln Center,Board
2012,DIRECTORS ,Elizabeth Rohatyn ,Elizabeth Rohatyn,FALSE,,Lincoln Center,Board
2012,DIRECTORS ,Elliot S. Jaffe ,Elliot S. Jaffe,FALSE,"Ascena Retail Group, Inc. ",Lincoln Center,Board
2012,DIRECTORS ,Gary W. Parr ,Gary W. Parr,FALSE,New York Philharmonic ,Lincoln Center,Board
2013,DIRECTORS ,Gayfryd Steinberg ,Gayfryd Steinberg,FALSE,,Lincoln Center,Board
2012,DIRECTORS ,George Walker ,George Walker,FALSE,"Neuberger Berman Group, LLC ",Lincoln Center,Board
2012,DIRECTORS ,Guoqing Chen ,Guoqing Chen,FALSE, Pacific American Corporation | HNA Group ,Lincoln Center,Board
2012,DIRECTORS ,"Harold Ford, Jr. ","Harold Ford, Jr.",FALSE,Morgan Stanley ,Lincoln Center,Board
2012,DIRECTORS ,Honorable Judith S. Kaye ,Honorable Judith S. Kaye,FALSE,"Skadden, Arps, Slate, Meagher & Flom, LLP ",Lincoln Center,Board
2012,DIRECTORS ,Indra Nooyi ,Indra Nooyi,FALSE,"PepsiCo, Inc. ",Lincoln Center,Board
2013,DIRECTORS ,Ingeborg Rennert ,Ingeborg Rennert,FALSE,,Lincoln Center,Board
2012,DIRECTORS ,J. Tomilson Hill ,J. Tomilson Hill,FALSE,The Blackstone Group ,Lincoln Center,Board
2012,DIRECTORS ,James G. Dinan ,James G. Dinan,FALSE,York Capital Management ,Lincoln Center,Board
2013,DIRECTORS ,James P. O\Shaughnessy ,James P. O\Shaughnessy,FALSE,O\Shaughnessy Asset Management ,Lincoln Center,Board
2012,DIRECTORS ,Jay S. Fishman ,Jay S. Fishman,FALSE,"The Travelers Companies, Inc. ",Lincoln Center,Board
2013,PRESIDENT ,Jed Bernstein ,Jed Bernstein,FALSE,,Lincoln Center,Board
2012,DIRECTORS ,Jim Herbert ,Jim Herbert,FALSE,First Republic Bank ,Lincoln Center,Board
2012,DIRECTORS ,Jim Rosenthal ,Jim Rosenthal,FALSE,Morgan Stanley ,Lincoln Center,Board
2012,VICE CHAIRS ,Joel S. Ehrenkranz ,Joel S. Ehrenkranz,FALSE,Ehrenkranz Partners L.P. ,Lincoln Center,Board
2012,VICE CHAIRS ,John B. Hess ,John B. Hess,FALSE,Hess Corporation ,Lincoln Center,Board
2012,DIRECTORS ,John Wren ,John Wren,FALSE,Omnicom Group Inc. ,Lincoln Center,Board
2012,DIRECTORS ,Joseph R. Perella ,Joseph R. Perella,FALSE,Perella Weinberg Partners LLP ,Lincoln Center,Board
2012,DIRECTORS ,Julian H. Robertson ,Julian H. Robertson,FALSE,Tiger Management LLC ,Lincoln Center,Board
2013,DIRECTORS ,Julian Robertson ,Julian Robertson,FALSE,Tiger Management L.L.C. ,Lincoln Center,Board
2012,CHAIR ,Katherine Farley ,Katherine Farley,FALSE,,Lincoln Center,Board
2012,DIRECTORS ,Keith T. Banks ,Keith T. Banks,FALSE,Trust Bank of America\ Private Wealth Management ,Lincoln Center,Board
2012,DIRECTORS ,Kevin W. Kennedy ,Kevin W. Kennedy,FALSE,Metropolitan Opera ,Lincoln Center,Board
2012,VICE CHAIRS ,Laurie M. Tisch ,Laurie M. Tisch,FALSE,Laurie M. Tisch Illumination Fund ,Lincoln Center,Board
2012,DIRECTORS ,Max R. Shulman ,Max R. Shulman,FALSE,School of American Ballet ,Lincoln Center,Board
2013,DIRECTORS ,Michael Lynton ,Michael Lynton,FALSE,"Sony Entertainment, Inc. ",Lincoln Center,Board
2013,DIRECTORS ,Mimi Haas ,Mimi Haas,FALSE,Mimi and Peter Haas Fund ,Lincoln Center,Board
2013,DIRECTORS ,Motomu Takahashi ,Motomu Takahashi,FALSE,"Mitsui & Co. (U.S.A.), Inc. ",Lincoln Center,Board
2012,DIRECTORS ,Mr. Mitsuhiko Kawai ,Mr. Mitsuhiko Kawai,FALSE,"Mitsui & Co. (U.S.A.), Inc. ",Lincoln Center,Board
2012,DIRECTORS ,Mrs. Ingeborg Hanna Rennert ,Mrs. Ingeborg Hanna Rennert,FALSE,,Lincoln Center,Board
2012,DIRECTORS ,Ms. Diane M. Coffey ,Ms. Diane M. Coffey,FALSE,Peter J. Solomon Company ,Lincoln Center,Board
2012,DIRECTORS ,Peter Frelinghuysen ,Peter Frelinghuysen,FALSE,Morris & McVeigh LLP ,Lincoln Center,Board
2012,DIRECTORS ,Peter S. Kraus ,Peter S. Kraus,FALSE,Alliance Bernstein ,Lincoln Center,Board
2012,VICE CHAIRS ,Philip L. Milstein ,Philip L. Milstein,FALSE,Ogden CAP Properties ,Lincoln Center,Board
2013,DIRECTORS ,Ralph Schlosstein ,Ralph Schlosstein,FALSE,Evercore ,Lincoln Center,Board
2012,DIRECTORS ,Renée Belfer,Renée Belfer,FALSE,,Lincoln Center,Board
2012,PRESIDENT,Reynold Levy,Reynold Levy,FALSE,,Lincoln Center,Board
2012,VICE CHAIRS ,Richard K. DeScherer ,Richard K. DeScherer,FALSE,Bloomberg L.P. ,Lincoln Center,Board
2012,DIRECTORS ,Richard S. Braddock ,Richard S. Braddock,FALSE,,Lincoln Center,Board
2012,DIRECTORS ,Rita E. Hauser ,Rita E. Hauser,FALSE,"The Hauser Foundation, Inc. ",Lincoln Center,Board
2012,DIRECTORS ,Robert A. Iger ,Robert A. Iger,FALSE,The Walt Disney Company ,Lincoln Center,Board
2012,DIRECTORS ,Robert Appel ,Robert Appel,FALSE,Appel Associates ,Lincoln Center,Board
2012,DIRECTORS ,Ronnie Ackman,Ronnie Ackman,FALSE,,Lincoln Center,Board
2012,VICE CHAIRS ,Roy Furman ,Roy Furman,FALSE,Jefferies LLC ,Lincoln Center,Board
2012,DIRECTORS ,Shelly Lazarus ,Shelly Lazarus,FALSE,Ogilvy & Mather ,Lincoln Center,Board
2013,DIRECTORS ,Sheryl J. Kaye Kevin W. Kennedy ,Sheryl J. Kaye Kevin W. Kennedy,FALSE,Metropolitan Opera | Wallace Foundation,Lincoln Center,Board
2012,DIRECTORS ,Shiqiang Wu ,Shiqiang Wu,FALSE,U.S.A. Bank of China ,Lincoln Center,Board
2012,DIRECTORS ,Sir Deryck C. Maughan ,Sir Deryck C. Maughan,FALSE,Kohlberg Kravis Roberts & Co. ,Lincoln Center,Board
2012,DIRECTORS ,Somesh Khanna ,Somesh Khanna,FALSE,McKinsey and Company ,Lincoln Center,Board
2012,DIRECTORS ,Stephen M. Ross ,Stephen M. Ross,FALSE,Related Companies ,Lincoln Center,Board
2012,DIRECTORS ,Steven A. Kandarian ,Steven A. Kandarian,FALSE,Officer MetLife Inc. ,Lincoln Center,Board
2012,DIRECTORS ,Steven R. Swartz ,Steven R. Swartz,FALSE,Hearst Corporation ,Lincoln Center,Board
2012,DIRECTORS ,Thomas A. Renyi ,Thomas A. Renyi,FALSE,The Bank of New York Mellon Corporation ,Lincoln Center,Board
2012,DIRECTORS ,Thomas H. Lee ,Thomas H. Lee,FALSE,Thomas H. Lee Capital ,Lincoln Center,Board
2012,DIRECTORS ,"William B. Harrison, Jr. ","William B. Harrison, Jr.",FALSE,JP Morgan Chase & Co. ,Lincoln Center,Board
2012,DIRECTORS ,William C. Morris ,William C. Morris,FALSE,Metropolitan Opera,Lincoln Center,Board
2012,DIRECTORS ,William E. Ford ,William E. Ford,FALSE,General Atlantic LLC ,Lincoln Center,Board
2012,DIRECTORS ,"William R. Miller, CBE ","William R. Miller, CBE",FALSE,Bristol-Myers Squibb ,Lincoln Center,Board
2013,Chairman ,Ann Ziff ,Ann Ziff,FALSE,Bill and Ann Ziff Foundation,Metropolitan Opera,Board
2013,President and Chief Executive Officer ,Kevin W. Kennedy ,Kevin W. Kennedy,FALSE,Lincoln Center | Wallace Foundation |Hamilton College,Metropolitan Opera,Board
2013,Chairman of the Executive Committee,Mercedes T. Bass ,Mercedes T. Bass,FALSE,Aspen Institute | Aspen Music School | Mercedes T. Bass Charitable Corporation,Metropolitan Opera,Board
2013,Chairman of the Executive Committee ,William C. Morris ,William C. Morris,FALSE,,Metropolitan Opera,Board
2013,Secretary,Judith-Ann Corrente ,Judith-Ann Corrente,FALSE,Lang Lang International Music Foundation | Central Park Conservancy | Oliver Scholars Program | National Association of Independent Schools | Monteforte Foundation,Metropolitan Opera,Board
2013,Treasurer,Betsy Cohen ,Betsy Cohen,FALSE,,Metropolitan Opera,Board
2013,Frayda B. Lindemann ,Frayda B. Lindemann ,Frayda B. Lindemann,FALSE, Lindemann Charitable Foundation Ii Inc,Metropolitan Opera,Board
2013,Honorary Chairman ,Christine F. Hunter ,Christine F. Hunter,FALSE,Gramma Fisher Foundation,Metropolitan Opera,Board
2013,Honorary Chairman ,James W. Kinnear ,James W. Kinnear,FALSE,,Metropolitan Opera,Board
2013,President Emeritus ,Paul M. Montrone ,Paul M. Montrone,FALSE,Perspecta Trust LLC | New England Conservatory | Boston Symphony Orchestra | Columbia University Graduate School of Business,Metropolitan Opera,Board
2013,Vice Chairman Emerita ,Mrs. Ezra K. Zilkha ,Mrs. Ezra K. Zilkha,FALSE,Hospital for Special Surgery,Metropolitan Opera,Board
2013,Managing Director,"Frank A. Bennack, Jr. ","Frank A. Bennack, Jr.",FALSE,Hearst Corporation | New York Presbyterian Hospital | Lincoln Center | Paley Center for Media | Hearst Foundation | William Randolph Hearst Foundation,Metropolitan Opera,Board
2013,Managing Director,Susan S. Braddock ,Susan S. Braddock,FALSE,Richard and Susan Braddock Family Foundation,Metropolitan Opera,Board
2013,Managing Director,"Leonard S. Coleman, Jr. ","Leonard S. Coleman, Jr.",FALSE,Children's Defense Fund | Schumann Fund | ,Metropolitan Opera,Board
2013,Managing Director,Edgar Foster Daniels,Edgar Foster Daniels,FALSE,Edgar Foster Daniels Foundation,Metropolitan Opera,Board
2013,Managing Director,Rena De Sisto,Rena De Sisto,FALSE,Bank Of America Merrill Lynch | Bank Of America Charitable Foundation,Metropolitan Opera,Board
2013,Managing Director,Jerry del Missier ,Jerry del Missier,FALSE,,Metropolitan Opera,Board
2013,Managing Director,Mrs. Paul Desmarais Sr.,Mrs. Paul Desmarais Sr.,FALSE,,Metropolitan Opera,Board
2013,Managing Director,Misook Doolittle ,Misook Doolittle,FALSE,Harry and Misook Doolittle Foundation,Metropolitan Opera,Board
2014,Managing Director,Stephanie T. Foster,Stephanie T. Foster,FALSE,John H. Foster Foundation | The Asia Society,Metropolitan Opera,Board
2013,Managing Director,Marina Kellen French ,Marina Kellen French,FALSE,Anna-Maria and Stephen Kellen Foundation | Marina Kellen French Foundation,Metropolitan Opera,Board
2013,Managing Director,Beth W. Glynn ,Beth W. Glynn,FALSE,,Metropolitan Opera,Board
2014,Managing Director,Joan Granlund,Joan Granlund,FALSE,,Metropolitan Opera,Board
2013,Managing Director,Eugene P. Grisanti ,Eugene P. Grisanti,FALSE,New York Botanical Garden | Lincoln Center For the Performing Arts | Ambrose Monell Foundation | G. Unger Vetlesen Foundation | New York City Ballet | The Rockefeller University Board of Trustees,Metropolitan Opera,Board
2014,Managing Director,Eckkehart Hassel-Weiler,Eckkehart Hassel-Weiler,FALSE,"Eagle Global Advisors, Inc. | Perquest, Inc.",Metropolitan Opera,Board
2013,Managing Director,Rolf Heitmeyer ,Rolf Heitmeyer,FALSE,,Metropolitan Opera,Board
2013,Managing Director,Marlene Hess,Marlene Hess,FALSE,New York Stem Cell Foundation | Hess Foundation,Metropolitan Opera,Board
2014,Managing Director,Agnes Hsu-Tang,Agnes Hsu-Tang,FALSE,New York Historical Society | University of Pennsylvania Museum of Archaeology and Anthropology | Institute of International Education | Tang Family Foundation ,Metropolitan Opera,Board
2013,Managing Director,Christine F. Hunter ,Christine F. Hunter,FALSE,Gramma Fisher Foundation,Metropolitan Opera,Board
2013,Managing Director,Frederick Iseman ,Frederick Iseman,FALSE,"CI Capital Partners | International Rescue Committee | Carnegie Hall |  Mariinsky Foundation of America | Helen Frankenthaler Foundation | Municipal Art Society of New York | Yale University Council
",Metropolitan Opera,Board
2013,Managing Director,John J. Noffo Kahn ,John J. Noffo Kahn,FALSE,The Gilbert S. & John J. Noffo Kahn Foundation,Metropolitan Opera,Board
2013,Managing Director,James W. Kinnear ,James W. Kinnear,FALSE,,Metropolitan Opera,Board
2013,Managing Director,Bruce Kovner ,Bruce Kovner,FALSE,Caxton Alternative Management LP | The Kovner Foundation,Metropolitan Opera,Board
2013,Managing Director,Camille D. LaBarre ,Camille D. LaBarre,FALSE,League of American Orchestras,Metropolitan Opera,Board
2013,Managing Director,"Mrs. Walter J. Laughery, Jr. ","Mrs. Walter J. Laughery, Jr.",FALSE,,Metropolitan Opera,Board
2013,Managing Director,Harry T. Lee ,Harry T. Lee,FALSE,Sayfad Ltd. | Mahamudra Ltd. | Lotus Outreach,Metropolitan Opera,Board
2013,Managing Director,Jeanette Lerman-Neubauer ,Jeanette Lerman-Neubauer,FALSE,Neubauer Family Collegium for Culture and Society | Neubauer Family Foundation ,Metropolitan Opera,Board
2013,Managing Director,Dafna Meitar-Nechmad ,Dafna Meitar-Nechmad,FALSE,Zvi and Ofra Meitar Family Fund | Zvi Meitar Center for Advanced Law Studies,Metropolitan Opera,Board
2013,Managing Director,Mrs. Corbin R. Miller ,Mrs. Corbin R. Miller,FALSE,Boys Club of New York,Metropolitan Opera,Board
2013,Managing Director,William R. Miller ,William R. Miller,FALSE,,Metropolitan Opera,Board
2013,Managing Director,Vivian Milstein ,Vivian Milstein,FALSE,Vivien and Seymour Milstein Family Heart Center,Metropolitan Opera,Board
2013,Managing Director,Elena A. Prokupets ,Elena A. Prokupets,FALSE,Lenel Systems,Metropolitan Opera,Board
2013,Managing Director,Laura J. Sloate ,Laura J. Sloate,FALSE,"Sloate Weisman Murray & Company, Inc. | Richard Tucker Music Foundation Inc. | Michael Wolk Heart Foundation",Metropolitan Opera,Board
2013,Managing Director,Howard Solomon ,Howard Solomon,FALSE,,Metropolitan Opera,Board
2013,Managing Director,"Hon. David A. Straz, Jr. ","Hon. David A. Straz, Jr.",FALSE,"Straz Center | David A. Straz, Jr. Foundation",Metropolitan Opera,Board
2013,Managing Director,Ambassador Nicholas F. Taubman\,Ambassador Nicholas F. Taubman\,FALSE,Taubman Foundation for the Arts,Metropolitan Opera,Board
2013,Managing Director,"Mrs. Wilmer J. Thomas, Jr. ","Mrs. Wilmer J. Thomas, Jr.",FALSE,,Metropolitan Opera,Board
2013,Managing Director,Robert I. Toll ,Robert I. Toll,FALSE,Toll Brothers | Cornell Real Estate Council | Seeds of Peace | Beth Shalom Synagogue | Robert and Jane Toll Foundation,Metropolitan Opera,Board
2013,Managing Director,Robert L. Turner\,Robert L. Turner\,FALSE,,Metropolitan Opera,Board
2013,Chairman,Daniel Brodsky ,Daniel Brodsky,FALSE,Brodsky Organization | Daniel and Estrellita Brodsky Foundation,Metropolitan Museum of Art,Board
2013,Vice chairman,Russell L. Carson ,Russell L. Carson,FALSE,"Welsh, Carson, Anderson, & Stowe | 9/11 Memorial | Columbia Business School | World Trade Center Foundation, Inc. | Naitonal 9/11 Memorial Foundation | Rockefeller University Board of Trustees | ",Metropolitan Museum of Art,Board
2013,Vice chairman,"Richard L. Chilton,  Jr. ","Richard L. Chilton, Jr.",FALSE,Chilton Investment Company | Chilton Trust Company | Chilton Family Foundation,Metropolitan Museum of Art,Board
2013,Vice chairman,Lulu C. Wang ,Lulu C. Wang,FALSE,"Tupelo Capital Management, LLC | WNYC",Metropolitan Museum of Art,Board
2013,Elective trustee,J. Tomilson Hill ,J. Tomilson Hill,FALSE,Lincoln Center | The Blackstone Group ,Metropolitan Museum of Art,Board
2013,Elective trustee,Denis P. Kelleher ,Denis P. Kelleher,FALSE,"Wall Street Access Asset Management, LLC | Denis P And Carol A Kelleher Charitable Foundation",Metropolitan Museum of Art,Board
2013,Elective trustee,William C. Rudin ,William C. Rudin,FALSE,Rudin Management Company | The Battery Conservancy | The Lower Manhattan Development Corporation | The Partnership for New York City | The Mayor\s Fund to Advance New York City | New York University | The New York Center for Autism | The Alliance for Downtown New York | The Real Estate Roundtable,Metropolitan Museum of Art,Board
2013,Elective trustee,Alejandro Santo Domingo,Alejandro Santo Domingo,FALSE,The Nature Conservancy | Endeavor | DKMS Americas ,Metropolitan Museum of Art,Board
2013,Elective trustee,Andrew M. Saul ,Andrew M. Saul,FALSE,Saul Partners L.P. | Denise and Andrew Saul Foundation,Metropolitan Museum of Art,Board
2013,Elective trustee,Anna Wintour ,Anna Wintour,FALSE,American Vogue | Condé Nast | ,Metropolitan Museum of Art,Board
2013,Elective trustee,Candace K. Beinecke ,Candace K. Beinecke,FALSE,Hughes Hubbard & Reed LLP | The Wallace Foundation | ALSTOM | Partnership for New York City | Merce Cunningham Dance Foundation ,Metropolitan Museum of Art,Board
