First year,Position,Name,Trimmed,Affiliation,Institution,Type
2013,Trustee,Scott L. Bok,Scott L. Bok,,American Museum of Natural History,Board
2014,Trustee,Shaiza Rizavi,Shaiza Rizavi,,American Museum of Natural History,Board
2013,Secretary,Sibyl R. Golden,Sibyl R. Golden,,American Museum of Natural History,Board
2013,Trustee,Stephanie Bell-Rose,Stephanie Bell-Rose,,American Museum of Natural History,Board
2013,Trustee,Tamsen Ann Ziff,Tamsen Ann Ziff,,American Museum of Natural History,Board
2013,Trustee,Theodore A. Mathas,Theodore A. Mathas,,American Museum of Natural History,Board
2013,Trustee,Theodore Roosevelt IV,Theodore Roosevelt IV,,American Museum of Natural History,Board
2013,Trustee,Tina Fey,Tina Fey,,American Museum of Natural History,Board
2013,Trustee,Tom Brokaw,Tom Brokaw,,American Museum of Natural History,Board
2014,Trustee,Valerie S. Peltier,Valerie S. Peltier,,American Museum of Natural History,Board
2014,Trustee,Victor Marrero,Victor Marrero,,American Museum of Natural History,Board
2013,Trustee,Virginia Hearst Randt,Virginia Hearst Randt,,American Museum of Natural History,Board
2013,Trustee,Vivian H. Donnelley,Vivian H. Donnelley,,American Museum of Natural History,Board
2013,Trustee,Walter V. Shipley,Walter V. Shipley,,American Museum of Natural History,Board
2012,DIRECTORS ,"\�Frank A. Bennack, Jr. ","\�Frank A. Bennack, Jr.",Executive Vice Chairman of the Board\�and Chairman of the Executive Committee Hearst Corporation ,Lincoln Center,Board
2012,DIRECTORS ,Adrienne Arsht ,Adrienne Arsht,Chairman Emerita TotalBank ,Lincoln Center,Board
2012,DIRECTORS ,Alair A. Townsend ,Alair A. Townsend,Crain\s New York Business ,Lincoln Center,Board
2012,DIRECTORS ,Ann Unterberg ,Ann Unterberg,"Chairman\, Lincoln Center Education ",Lincoln Center,Board
2012,VICE CHAIRS ,Ann Ziff ,Ann Ziff,,Lincoln Center,Board
2013,DIRECTORS ,Anna Nikolayevsky  Benton,Anna Nikolayevsky Benton,Managing Member\ Axel Capital Management ,Lincoln Center,Board
2012,DIRECTORS ,Audra McDonald ,Audra McDonald,Actor and Singer ,Lincoln Center,Board
2012,DIRECTORS ,Audrey Butvay Gruss ,Audrey Butvay Gruss,"President\, The Audrey and Martin Gruss Foundation ",Lincoln Center,Board
2012,DIRECTORS ,Barbara Walters ,Barbara Walters,ABC News ,Lincoln Center,Board
2012,DIRECTORS ,Bart Friedman ,Bart Friedman,"Senior Partner\, Cahill Gordon & Reindel, LLP ",Lincoln Center,Board
2013,DIRECTORS ,Bennett J. Goodman ,Bennett J. Goodman,Co-Founder and Senior Managing Director GSO Capital Partners ,Lincoln Center,Board
2012,DIRECTORS ,Betty Levin ,Betty Levin,"President\, Corporate Art Directions ",Lincoln Center,Board
2012,TREASURER ,Blair W. Effron ,Blair W. Effron,Founding Partner Centerview Partners LLC ,Lincoln Center,Board
2012,VICE CHAIRS ,Bruce Kovner ,Bruce Kovner,"Chairman\, Caxton Alternative Management LP ",Lincoln Center,Board
2012,DIRECTORS ,Bryan Lourd ,Bryan Lourd,"Partner, Managing Director and Co-Chairman\�Creative Artists Agency ",Lincoln Center,Board
2012,DIRECTORS ,Christina Baker ,Christina Baker,,Lincoln Center,Board
2012,DIRECTORS ,Christopher J. Williams ,Christopher J. Williams,"Chairman and Chief Executive Officer The Williams Capital Group, L.P. ",Lincoln Center,Board
2012,DIRECTORS ,Clara Wu Tsai ,Clara Wu Tsai,"Director\, The Joe and Clara Tsai Foundation ",Lincoln Center,Board
2012,DIRECTORS ,Daniel Crown ,Daniel Crown,"President\, Foray Entertainment and Red Crown Productions ",Lincoln Center,Board
2012,DIRECTORS ,Daniel H. Stern ,Daniel H. Stern,Reservoir Capital Group LLC ,Lincoln Center,Board
2012,DIRECTORS ,Daniel S. Och ,Daniel S. Och,Chief Executive Officer\�Och-Ziff Capital Management Group ,Lincoln Center,Board
2012,DIRECTORS ,David A. Hunt ,David A. Hunt,President and Chief Executive Officer Prudential Investment Management ,Lincoln Center,Board
2012,VICE CHAIRS ,David Alan Coulter ,David Alan Coulter,"Vice Chairman, Warburg Pincus LLC",Lincoln Center,Board
2012,DIRECTORS ,David H. Koch ,David H. Koch,"Executive Vice President Koch Industries, Inc. ",Lincoln Center,Board
2012,DIRECTORS ,David M. Rubenstein ,David M. Rubenstein,Co-Founder and Co-CEO The Carlyle Group ,Lincoln Center,Board
2013,DIRECTORS ,Diane M. Coffey ,Diane M. Coffey,Managing Director\ Peter J. Solomon Company ,Lincoln Center,Board
2012,DIRECTORS ,Edward P. Gilligan ,Edward P. Gilligan,"President, \�American Express Company ",Lincoln Center,Board
2012,DIRECTORS ,Efraim Grinberg ,Efraim Grinberg,"Chairman & CEO Movado Group, Inc. ",Lincoln Center,Board
2012,DIRECTORS ,Elizabeth Rohatyn ,Elizabeth Rohatyn,,Lincoln Center,Board
2012,DIRECTORS ,Elliot S. Jaffe ,Elliot S. Jaffe,"Chairman & Co-Founder Ascena Retail Group, Inc. ",Lincoln Center,Board
2012,DIRECTORS ,Gary W. Parr ,Gary W. Parr,Chairman\�New York Philharmonic ,Lincoln Center,Board
2013,DIRECTORS ,Gayfryd Steinberg ,Gayfryd Steinberg,,Lincoln Center,Board
2012,DIRECTORS ,George Walker ,George Walker,"Chairman and CEO\, Neuberger Berman Group, LLC ",Lincoln Center,Board
2012,DIRECTORS ,Guoqing Chen ,Guoqing Chen,"Chairman\, Pacific American Corporation, HNA Group ",Lincoln Center,Board
2012,DIRECTORS ,"Harold Ford, Jr. ","Harold Ford, Jr.",Managing Director Morgan Stanley ,Lincoln Center,Board
2012,DIRECTORS ,Honorable Judith S. Kaye ,Honorable Judith S. Kaye,"Skadden, Arps, Slate, Meagher & Flom, LLP ",Lincoln Center,Board
2012,DIRECTORS ,Indra Nooyi ,Indra Nooyi,"Chairman and Chief Executive Officer PepsiCo, Inc. ",Lincoln Center,Board
2013,DIRECTORS ,Ingeborg Rennert ,Ingeborg Rennert,,Lincoln Center,Board
2012,DIRECTORS ,J. Tomilson Hill ,J. Tomilson Hill,"Vice Chairman\, The Blackstone Group ",Lincoln Center,Board
2012,DIRECTORS ,James G. Dinan ,James G. Dinan,Founder and Chief Executive Officer York Capital Management ,Lincoln Center,Board
2013,DIRECTORS ,James P. O\Shaughnessy ,James P. O\Shaughnessy,Chairman & CEO\ O\Shaughnessy Asset Management ,Lincoln Center,Board
2012,DIRECTORS ,Jay S. Fishman ,Jay S. Fishman,"Chairman and Chief Executive Officer The Travelers Companies, Inc. ",Lincoln Center,Board
2013,PRESIDENT ,Jed Bernstein ,Jed Bernstein,,Lincoln Center,Board
2012,DIRECTORS ,Jim Herbert ,Jim Herbert,Chairman and\ Chief Executive Officer (Founding) First Republic Bank ,Lincoln Center,Board
2012,DIRECTORS ,Jim Rosenthal ,Jim Rosenthal,Chief Operating Officer Morgan Stanley ,Lincoln Center,Board
2012,VICE CHAIRS ,Joel S. Ehrenkranz ,Joel S. Ehrenkranz,"Partner, Ehrenkranz Partners L.P. ",Lincoln Center,Board
2012,VICE CHAIRS ,John B. Hess ,John B. Hess,Chief Executive Officer Hess Corporation ,Lincoln Center,Board
2012,DIRECTORS ,John Wren ,John Wren,President and CEO Omnicom Group Inc. ,Lincoln Center,Board
2012,DIRECTORS ,Joseph R. Perella ,Joseph R. Perella,Chairman and Founding Partner Perella Weinberg Partners LLP ,Lincoln Center,Board
2012,DIRECTORS ,Julian H. Robertson ,Julian H. Robertson,"Chairman\, Tiger Management LLC ",Lincoln Center,Board
2013,DIRECTORS ,Julian Robertson ,Julian Robertson,Chairman \�Tiger Management L.L.C. ,Lincoln Center,Board
2012,CHAIR ,Katherine Farley ,Katherine Farley,,Lincoln Center,Board
2012,DIRECTORS ,Keith T. Banks ,Keith T. Banks,"President, U.S. Trust\�Bank of America\�Private Wealth Management ",Lincoln Center,Board
2012,DIRECTORS ,Kevin W. Kennedy ,Kevin W. Kennedy,President and Chief Executive Officer The Metropolitan Opera ,Lincoln Center,Board
2012,VICE CHAIRS ,Laurie M. Tisch ,Laurie M. Tisch,"President, \�Laurie M. Tisch Illumination Fund ",Lincoln Center,Board
2012,DIRECTORS ,Max R. Shulman ,Max R. Shulman,Chairman of the Board School of American Ballet ,Lincoln Center,Board
2013,DIRECTORS ,Michael Lynton ,Michael Lynton,"Chief Executive Officer Sony Entertainment, Inc. ",Lincoln Center,Board
2013,DIRECTORS ,Mimi Haas ,Mimi Haas,President\ Mimi and Peter Haas Fund ,Lincoln Center,Board
2013,DIRECTORS ,Motomu Takahashi ,Motomu Takahashi,"President & Chief Executive Officer Mitsui & Co. (U.S.A.), Inc. ",Lincoln Center,Board
2012,DIRECTORS ,Mr. Mitsuhiko Kawai ,Mr. Mitsuhiko Kawai,"President and Chief Executive Officer Mitsui & Co. (U.S.A.), Inc. ",Lincoln Center,Board
2012,DIRECTORS ,Mrs. Ingeborg Hanna Rennert ,Mrs. Ingeborg Hanna Rennert,,Lincoln Center,Board
2012,DIRECTORS ,Ms. Diane M. Coffey ,Ms. Diane M. Coffey,Managing Director\�Peter J. Solomon Company ,Lincoln Center,Board
2012,DIRECTORS ,Peter Frelinghuysen ,Peter Frelinghuysen,"Retired Partner, \�Morris & McVeigh LLP ",Lincoln Center,Board
2012,DIRECTORS ,Peter S. Kraus ,Peter S. Kraus,Chairman and CEO Alliance Bernstein ,Lincoln Center,Board
2012,VICE CHAIRS ,Philip L. Milstein ,Philip L. Milstein,"Principal\, Ogden CAP Properties ",Lincoln Center,Board
2013,DIRECTORS ,Ralph Schlosstein ,Ralph Schlosstein,President & CEO Evercore ,Lincoln Center,Board
2012,DIRECTORS ,Renée Belfer,Renée Belfer,,Lincoln Center,Board
2012,PRESIDENT,Reynold Levy,Reynold Levy,,Lincoln Center,Board
2012,VICE CHAIRS ,Richard K. DeScherer ,Richard K. DeScherer,"Chief Legal & Compliance Officer, Bloomberg L.P. ",Lincoln Center,Board
2012,DIRECTORS ,Richard S. Braddock ,Richard S. Braddock,,Lincoln Center,Board
2012,DIRECTORS ,Rita E. Hauser ,Rita E. Hauser,"President\, The Hauser Foundation, Inc. ",Lincoln Center,Board
2012,DIRECTORS ,Robert A. Iger ,Robert A. Iger,"Chairman & CEO\, The Walt Disney Company ",Lincoln Center,Board
2012,DIRECTORS ,Robert Appel ,Robert Appel,"President\, Appel Associates ",Lincoln Center,Board
2012,DIRECTORS ,Ronnie Ackman,Ronnie Ackman,,Lincoln Center,Board
2012,VICE CHAIRS ,Roy Furman ,Roy Furman,Vice Chairman Jefferies LLC ,Lincoln Center,Board
2012,DIRECTORS ,Shelly Lazarus ,Shelly Lazarus,Chairman Emeritus Ogilvy & Mather ,Lincoln Center,Board
2013,DIRECTORS ,Sheryl J. Kaye Kevin W. Kennedy ,Sheryl J. Kaye Kevin W. Kennedy,President and Chief Executive Officer The Metropolitan Opera ,Lincoln Center,Board
2012,DIRECTORS ,Shiqiang Wu ,Shiqiang Wu,"General Manager, U.S.A. Bank of China ",Lincoln Center,Board
2012,DIRECTORS ,Sir Deryck C. Maughan ,Sir Deryck C. Maughan,Senior Advisor\�Kohlberg Kravis Roberts & Co. ,Lincoln Center,Board
2012,DIRECTORS ,Somesh Khanna ,Somesh Khanna,"Director\, McKinsey and Company ",Lincoln Center,Board
2012,DIRECTORS ,Stephen M. Ross ,Stephen M. Ross,"Chairman\, Related Companies ",Lincoln Center,Board
2012,DIRECTORS ,Steven A. Kandarian ,Steven A. Kandarian,"Chairman, President and Chief Executive Officer MetLife Inc. ",Lincoln Center,Board
2012,DIRECTORS ,Steven R. Swartz ,Steven R. Swartz,President and Chief Executive Officer Hearst Corporation ,Lincoln Center,Board
2012,DIRECTORS ,Thomas A. Renyi ,Thomas A. Renyi,"Retired Chairman\, The Bank of New York Mellon Corporation ",Lincoln Center,Board
2012,DIRECTORS ,Thomas H. Lee ,Thomas H. Lee,"President\, Thomas H. Lee Capital ",Lincoln Center,Board
2012,DIRECTORS ,"William B. Harrison, Jr. ","William B. Harrison, Jr.",Former Chairman & CEO JPMorgan Chase & Co. ,Lincoln Center,Board
2012,DIRECTORS ,William C. Morris ,William C. Morris,Chairman of the Executive Committee The Metropolitan Opera Association ,Lincoln Center,Board
2012,DIRECTORS ,William E. Ford ,William E. Ford,Chief Executive Officer General Atlantic LLC ,Lincoln Center,Board
2012,DIRECTORS ,"William R. Miller, CBE ","William R. Miller, CBE",Former Vice Chairman Bristol-Myers Squibb ,Lincoln Center,Board
2013,Chairman ,Ann Ziff ,Ann Ziff,,Metropolitan Opera,Board
2013,President and Chief Executive Officer ,Kevin W. Kennedy ,Kevin W. Kennedy,,Metropolitan Opera,Board
2013,Chairman of the Executive Committee,Mercedes T. Bass ,Mercedes T. Bass,,Metropolitan Opera,Board
2013,Chairman of the Executive Committee ,William C. Morris ,William C. Morris,,Metropolitan Opera,Board
2013,Secretary,Judith-Ann Corrente ,Judith-Ann Corrente,,Metropolitan Opera,Board
2013,Treasurer,Betsy Cohen ,Betsy Cohen,,Metropolitan Opera,Board
2013,Frayda B. Lindemann ,Frayda B. Lindemann ,Frayda B. Lindemann,,Metropolitan Opera,Board
2013,Honorary Chairman ,Christine F. Hunter ,Christine F. Hunter,,Metropolitan Opera,Board
2013,Honorary Chairman ,James W. Kinnear ,James W. Kinnear,,Metropolitan Opera,Board
2013,President Emeritus ,Paul M. Montrone ,Paul M. Montrone,,Metropolitan Opera,Board
2013,Vice Chairman Emerita ,Mrs. Ezra K. Zilkha ,Mrs. Ezra K. Zilkha,,Metropolitan Opera,Board
2013,Managing Director,"Frank A. Bennack, Jr. ","Frank A. Bennack, Jr.",,Metropolitan Opera,Board
2013,Managing Director,Susan S. Braddock ,Susan S. Braddock,,Metropolitan Opera,Board
2013,Managing Director,"Leonard S. Coleman, Jr. ","Leonard S. Coleman, Jr.",,Metropolitan Opera,Board
2013,Managing Director,Edgar Foster Daniels ,Edgar Foster Daniels,,Metropolitan Opera,Board
2013,Managing Director,Rena De Sisto ,Rena De Sisto,,Metropolitan Opera,Board
2013,Managing Director,Jerry del Missier ,Jerry del Missier,,Metropolitan Opera,Board
2013,Managing Director,Mrs. Paul Desmarais Sr.,Mrs. Paul Desmarais Sr.,,Metropolitan Opera,Board
2013,Managing Director,Misook Doolittle ,Misook Doolittle,,Metropolitan Opera,Board
2014,Managing Director,Stephanie T. Foster,Stephanie T. Foster,,Metropolitan Opera,Board
2013,Managing Director,Marina Kellen French ,Marina Kellen French,,Metropolitan Opera,Board
2013,Managing Director,Beth W. Glynn ,Beth W. Glynn,,Metropolitan Opera,Board
2014,Managing Director,Joan Granlund,Joan Granlund,,Metropolitan Opera,Board
2013,Managing Director,Eugene P. Grisanti ,Eugene P. Grisanti,,Metropolitan Opera,Board
2014,Managing Director,Eckkehart Hassel-Weiler,Eckkehart Hassel-Weiler,,Metropolitan Opera,Board
2013,Managing Director,Rolf Heitmeyer ,Rolf Heitmeyer,,Metropolitan Opera,Board
2013,Managing Director,Marlene Hess,Marlene Hess,,Metropolitan Opera,Board
2014,Managing Director,Agnes Hsu-Tang,Agnes Hsu-Tang,,Metropolitan Opera,Board
2013,Managing Director,Christine F. Hunter ,Christine F. Hunter,,Metropolitan Opera,Board
2013,Managing Director,Frederick Iseman ,Frederick Iseman,,Metropolitan Opera,Board
2013,Managing Director,John J. Noffo Kahn ,John J. Noffo Kahn,,Metropolitan Opera,Board
2013,Managing Director,James W. Kinnear ,James W. Kinnear,,Metropolitan Opera,Board
2013,Managing Director,Bruce Kovner ,Bruce Kovner,,Metropolitan Opera,Board
2013,Managing Director,Camille D. LaBarre ,Camille D. LaBarre,,Metropolitan Opera,Board
2013,Managing Director,"Mrs. Walter J. Laughery, Jr. ","Mrs. Walter J. Laughery, Jr.",,Metropolitan Opera,Board
2013,Managing Director,Harry T. Lee ,Harry T. Lee,,Metropolitan Opera,Board
2013,Managing Director,Jeanette Lerman-Neubauer ,Jeanette Lerman-Neubauer,,Metropolitan Opera,Board
2013,Managing Director,Dafna Meitar-Nechmad ,Dafna Meitar-Nechmad,,Metropolitan Opera,Board
2013,Managing Director,Mrs. Corbin R. Miller ,Mrs. Corbin R. Miller,,Metropolitan Opera,Board
2013,Managing Director,William R. Miller ,William R. Miller,,Metropolitan Opera,Board
2013,Managing Director,Vivian Milstein ,Vivian Milstein,,Metropolitan Opera,Board
2013,Managing Director,Elena A. Prokupets ,Elena A. Prokupets,,Metropolitan Opera,Board
2013,Managing Director,Laura J. Sloate ,Laura J. Sloate,,Metropolitan Opera,Board
2013,Managing Director,Howard Solomon ,Howard Solomon,,Metropolitan Opera,Board
2013,Managing Director,"Hon. David A. Straz, Jr. ","Hon. David A. Straz, Jr.",,Metropolitan Opera,Board
2013,Managing Director,Ambassador Nicholas F. Taubman\,Ambassador Nicholas F. Taubman\,,Metropolitan Opera,Board
2013,Managing Director,"Mrs. Wilmer J. Thomas, Jr. ","Mrs. Wilmer J. Thomas, Jr.",,Metropolitan Opera,Board
2013,Managing Director,Robert I. Toll ,Robert I. Toll,,Metropolitan Opera,Board
2013,Managing Director,Robert L. Turner\,Robert L. Turner\,,Metropolitan Opera,Board
2013,Chairman,Daniel Brodsky ,Daniel Brodsky,,Metropolitan Museum,Board
2013,Vice chairman,Russell L. Carson ,Russell L. Carson,,Metropolitan Museum,Board
2013,Vice chairman,"Richard L. Chilton,  Jr. ","Richard L. Chilton, Jr.",,Metropolitan Museum,Board
2013,Vice chairman,Lulu C. Wang ,Lulu C. Wang,,Metropolitan Museum,Board
2013,Elective trustee,J. Tomilson Hill ,J. Tomilson Hill,,Metropolitan Museum,Board
2013,Elective trustee,Denis P. Kelleher ,Denis P. Kelleher,,Metropolitan Museum,Board
2013,Elective trustee,William C. Rudin ,William C. Rudin,,Metropolitan Museum,Board
2013,Elective trustee,Alejandro Santo Domingo,Alejandro Santo Domingo,,Metropolitan Museum,Board
2013,Elective trustee,Andrew M. Saul ,Andrew M. Saul,,Metropolitan Museum,Board
2013,Elective trustee,Anna Wintour ,Anna Wintour,,Metropolitan Museum,Board
2013,Elective trustee,Candace K. Beinecke ,Candace K. Beinecke,,Metropolitan Museum,Board
2013,Elective trustee,Leon D. Black ,Leon D. Black,,Metropolitan Museum,Board
2013,Elective trustee,Wellington Z. Chen ,Wellington Z. Chen,,Metropolitan Museum,Board
2013,Elective trustee,Hamilton E. James ,Hamilton E. James,,Metropolitan Museum,Board
2013,Elective trustee,Joyce Frank Menschel ,Joyce Frank Menschel,,Metropolitan Museum,Board
2013,Elective trustee,Jeffrey M. Peek ,Jeffrey M. Peek,,Metropolitan Museum,Board
2013,Elective trustee,Sir Paul Ruddock ,Sir Paul Ruddock,,Metropolitan Museum,Board
2013,Elective trustee,Shelby White ,Shelby White,,Metropolitan Museum,Board
2013,Elective trustee,Daniel Brodsky ,Daniel Brodsky,,Metropolitan Museum,Board
2013,Elective trustee,Russell L. Carson ,Russell L. Carson,,Metropolitan Museum,Board
2013,Elective trustee,Mark Fisch ,Mark Fisch,,Metropolitan Museum,Board
2013,Elective trustee,Marina Kellen French ,Marina Kellen French,,Metropolitan Museum,Board
2013,Elective trustee,Philip H. Isles ,Philip H. Isles,,Metropolitan Museum,Board
2013,Elective trustee,Ann G. Tenenbaum ,Ann G. Tenenbaum,,Metropolitan Museum,Board
2013,Elective trustee,Jeffrey W. Greenberg ,Jeffrey W. Greenberg,,Metropolitan Museum,Board
2013,Elective trustee,Bonnie B. Himmelman ,Bonnie B. Himmelman,,Metropolitan Museum,Board
2013,Elective trustee,Bonnie J. Sacerdote ,Bonnie J. Sacerdote,,Metropolitan Museum,Board
2013,Elective trustee,James E. Shipp ,James E. Shipp,,Metropolitan Museum,Board
2013,Elective trustee,Andrew Solomon ,Andrew Solomon,,Metropolitan Museum,Board
2013,Elective trustee,Barrie A. Wigmore ,Barrie A. Wigmore,,Metropolitan Museum,Board
2013,Elective trustee,Charles N. Atkins,Charles N. Atkins,,Metropolitan Museum,Board
2013,Elective trustee,Bijan Mossavar-Rahmani,Bijan Mossavar-Rahmani,,Metropolitan Museum,Board
2013,Elective trustee,John A. Paulson,John A. Paulson,,Metropolitan Museum,Board
2013,Elective trustee,Samantha Boardman Rosen,Samantha Boardman Rosen,,Metropolitan Museum,Board
2014,Elective trustee,Stephen M. Cutler,Stephen M. Cutler,,Metropolitan Museum,Board
2013,Emeritus,Plácido Arango ,Plácido Arango,,Metropolitan Museum,Board
2013,Emeritus,Renée E. Belfer ,Renée E. Belfer,,Metropolitan Museum,Board
2013,Emeritus,Mrs. Jackson Burke ,Mrs. Jackson Burke,,Metropolitan Museum,Board
2013,Emeritus,Walter Burke ,Walter Burke,,Metropolitan Museum,Board
2013,Emeritus,Mrs. B. Gerald Cantor ,Mrs. B. Gerald Cantor,,Metropolitan Museum,Board
2013,Emeritus,Michel David-Weill ,Michel David-Weill,,Metropolitan Museum,Board
2013,Emeritus,S. Parker Gilbert ,S. Parker Gilbert,,Metropolitan Museum,Board
2013,Emeritus,Conrad K. Harper ,Conrad K. Harper,,Metropolitan Museum,Board
2013,Emeritus,Mrs. Henry J. Heinz II ,Mrs. Henry J. Heinz II,,Metropolitan Museum,Board
2013,Emeritus,Sir Joseph Hotung ,Sir Joseph Hotung,,Metropolitan Museum,Board
2013,Emeritus,James R. Houghton ,James R. Houghton,,Metropolitan Museum,Board
2013,Emeritus,Mrs. Herbert Irving ,Mrs. Herbert Irving,,Metropolitan Museum,Board
2013,Emeritus,Henry A. Kissinger ,Henry A. Kissinger,,Metropolitan Museum,Board
2013,Emeritus,David H. Koch ,David H. Koch,,Metropolitan Museum,Board
2013,Emeritus,Barnabas McHenry ,Barnabas McHenry,,Metropolitan Museum,Board
2013,Emeritus,Mary R. Morgan ,Mary R. Morgan,,Metropolitan Museum,Board
2013,Emeritus,George B. Munroe ,George B. Munroe,,Metropolitan Museum,Board
2013,Emeritus,Eliot C. Nolen ,Eliot C. Nolen,,Metropolitan Museum,Board
2013,Emeritus,Robert M. Pennoyer ,Robert M. Pennoyer,,Metropolitan Museum,Board
2013,Emeritus,Mrs. Milton Petrie ,Mrs. Milton Petrie,,Metropolitan Museum,Board
2013,Emeritus,Cynthia Hazen Polsky ,Cynthia Hazen Polsky,,Metropolitan Museum,Board
2013,Emeritus,Annette de la Renta ,Annette de la Renta,,Metropolitan Museum,Board
2013,Emeritus,Frank E. Richardson ,Frank E. Richardson,,Metropolitan Museum,Board
2013,Emeritus,"E. John Rosenwald, Jr. ","E. John Rosenwald, Jr.",,Metropolitan Museum,Board
2013,Emeritus,James J. Ross ,James J. Ross,,Metropolitan Museum,Board
2013,Emeritus,Henry B. Schacht ,Henry B. Schacht,,Metropolitan Museum,Board
2013,Emeritus,David T. Schiff ,David T. Schiff,,Metropolitan Museum,Board
2013,Emeritus,Muriel Silberstein-Storfer ,Muriel Silberstein-Storfer,,Metropolitan Museum,Board
2013,Emeritus,Carl Spielvogel ,Carl Spielvogel,,Metropolitan Museum,Board
2013,Emeritus,Oscar L. Tang ,Oscar L. Tang,,Metropolitan Museum,Board
2013,Emeritus,Allan Weissglass ,Allan Weissglass,,Metropolitan Museum,Board
2013,Emeritus,Malcolm H. Wiener ,Malcolm H. Wiener,,Metropolitan Museum,Board
2013,Emeritus,Jayne Wrightsman ,Jayne Wrightsman,,Metropolitan Museum,Board
2013,Honorary chairman,David Rockefeller,David Rockefeller,,Museum of Modern Art,Board
2013,Honorary chairman,Ronald S. Lauder,Ronald S. Lauder,,Museum of Modern Art,Board
2013,Chairman emeritus,Robert B. Menschel,Robert B. Menschel,,Museum of Modern Art,Board
2013,President Emerita,Agnes Gund,Agnes Gund,,Museum of Modern Art,Board
2013,President Emeritus,Donald B. Marron,Donald B. Marron,,Museum of Modern Art,Board
2013,Chairman,Jerry I. Speyer,Jerry I. Speyer,,Museum of Modern Art,Board
2013,President,Marie-Josée Kravis,Marie-Josée Kravis,,Museum of Modern Art,Board
2013,Vice Chairman,Sid R. Bass,Sid R. Bass,,Museum of Modern Art,Board
