TYPE,Name,ID,Institution,Amount,Year,amount_lb,amount_ub
DONOR,"Carnegie Corporation of New York *",99,Brooklyn Public Library,"1,000,000 and above",2013,1000000,-
DONOR,"Leon Levy Foundation",100,Brooklyn Public Library,"1,000,000 and above",2013,1000000,-
DONOR,"Carnegie Corporation of New York *",101,Brooklyn Public Library,"$1,000,000 and above",2013,1000000,-
DONOR,"Leon Levy Foundation*",102,Brooklyn Public Library,"$1,000,000 and above",2013,1000000,-
DONOR,"Carnegie Corporation of New York*",103,Brooklyn Public Library,"$1,000,000 and above",2014,1000000,-
DONOR,"Joan and Sandford I. Weill",104,Carnegie Hall,"$10,000,000 and above",2013,10000000,-
DONOR,"Judith and Burton P. Resnick",105,Carnegie Hall,"$10,000,000 and above",2013,10000000,-
DONOR,"Lily and Edmind J. Safra",106,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Leni and Peter May",107,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Linda and Earle S. Altman",108,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Mercedes T. Bass",109,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Clarissa and Edgar Bronfman, Jr.",110,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Nicola Bulgari",111,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"The Diller-von Furstenberg Family Foundation",112,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Eugene and Emily Grant Family Foundation",113,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Hearst Foundations",114,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Klaus Jacobs",115,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Anna-Maria and Stephern Kellen Foundation",116,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Mark and Anla Cheng Kingdon Foundation",117,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Bruce and Suzie Kovner",118,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Robert I. Lipp",119,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Terry J. Lundgren Macy's, Inc.",120,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Beth and Joshua Nash",121,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Roland O. Perelman Family Foundation",122,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Susan and Elihu Rose Foundation",123,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Julio Mario Santo Dominjo",124,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Henry and Elizabeth Segerstrom",125,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Siemens Corporation",126,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"A. J. C. Smith",127,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"S. Donald Sussman",128,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Judy Francis Zankel",129,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"The Zankel Fund",130,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Ann Ziff",131,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"Anonymous (2)",132,Carnegie Hall,"$1,000,000-6,000,000",2013,1000000,6000000
DONOR,"City of New York",133,Carnegie Hall,"$10,000,000 and above",2013,10000000,-
DONOR,"Ronald O. Perelman Family Foundation",134,Carnegie Hall,"$10,000,000 and above",2013,10000000,-
DONOR,"Judith and Burton P. Resnick",135,Carnegie Hall,"$10,000,000 and above",2013,10000000,-
DONOR,"State of New York",136,Carnegie Hall,"$10,000,000 and above",2013,10000000,-
DONOR,"Joan and Sanford I. Weill",137,Carnegie Hall,"$10,000,000 and above",2013,10000000,-
DONOR,"Judy and Arthur Zankel",138,Carnegie Hall,"$10,000,000 and above",2013,10000000,-
DONOR,"Estate of Arthur Zankel",139,Carnegie Hall,"$10,000,000 and above",2013,10000000,-
DONOR,"Mrs. Mercedes T. Bass",140,Carnegie Hall,"$5,000,000-$9,999,999",2013,5000000,9999999
DONOR,"Mr. Sid R. Bass",141,Carnegie Hall,"$5,000,000-$9,999,999",2013,5000000,9999999
DONOR,"Citi Foundation",142,Carnegie Hall,"$5,000,000-$9,999,999",2013,5000000,9999999
DONOR,"Mr. and Mrs. Richard A. Debs",143,Carnegie Hall,"$5,000,000-$9,999,999",2013,5000000,9999999
DONOR,"The Honorable and Mrs. Felix G. Rohatyn",144,Carnegie Hall,"$5,000,000-$9,999,999",2013,5000000,9999999
DONOR,"Susan and Elihu Rose Foundation",145,Carnegie Hall,"$5,000,000-$9,999,999",2013,5000000,9999999
DONOR,"Lily and Edmond J. Safra",146,Carnegie Hall,"$5,000,000-$9,999,999",2013,5000000,9999999
DONOR,"Marge and Walter Scheuer and Family",147,Carnegie Hall,"$5,000,000-$9,999,999",2013,5000000,9999999
DONOR,"The Starr Foundation",148,Carnegie Hall,"$5,000,000-$9,999,999",2013,5000000,9999999
DONOR,"United States Department of Education",149,Carnegie Hall,"$5,000,000-$9,999,999",2013,5000000,9999999
DONOR,"Linda and Earle S. Altman",150,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Deloitte LLP",151,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"The Horace W. Goldsmith Foundation",152,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Hearst Foundations",153,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Mr. and Mrs. Klaus Jacobs",154,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Anna-Maria and Stephen Kellen Foundation",155,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Mr. and Mrs. Robert I. Lipp",156,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Leni and Peter May",157,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Mr. and Mrs. Lester S. Morse Jr.",158,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Mr. and Mrs. William G. Parrett",159,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Mr. William D. Rondina",160,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Mr. S. Donald Sussman",161,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Uris Brothers Foundation, Inc.",162,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"Mr. and Mrs. James D. Wolfensohn",163,Carnegie Hall,"$2,500,000-$4,999,999",2013,2500000,4999999
DONOR,"The Vincent Astor Foundation",164,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Vincent Astor Trust",165,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"AT&T",166,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mr. and Mrs. Ralph M. Baruch",167,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mr. and Mrs. Kenneth J. Bialkin / Skadden, Arps, Slate, Meagher & Flom",168,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Clarissa and Edgar Bronfman, Jr.",169,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mr. and Mrs. Nicola Bulgari",170,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"J. P. Morgan Chase & Co.",171,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Credit Suisse",172,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Estate of Joanne Toor Cummings",173,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Luella and Martin Davis",174,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Deutsche Bank",175,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Irene Diamond Fund, Inc.",176,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Diller-von Furstenberg Family Foundation",177,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mr. and Mrs. Anthony B. Evnin",178,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Fomento Cultural Banamex Fund for International Education",179,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mr. and Mrs. Gordon P. Getty",180,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Jean & Jula Goldwurm Memorial",181,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Eugene and Emily Grant",182,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Claudia and Roberto Hern‡ndez Ram’rez",183,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Maria Olivia and Jim Judelson",184,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Gershon Kekst, Kekst and Company, Inc.",185,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mark and Anla Cheng Kingdon Foundation",186,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Bruce and Suzie Kovner",187,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"KPMG LLP",188,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mr. and Mrs. Henry R. Kravis",189,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Kresge Foundation",190,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mr. and Mrs. Terry J. Lundgren",191,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"MacyÕs and Bloomingdales",192,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Marc Haas and Helen Hotze Haas",193,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Marma Foundation Fund for Youth Education",194,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Andrew W. Mellon Foundation",195,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Ambrose Monell Foundation",196,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Beth and Joshua Nash",197,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"National Endowment for the Arts",198,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Natural Heritage Trust",199,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Lizabeth and Frank Newman Charitable",200,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Pepsi-Cola Company",201,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"John & Louise Reuter Trust",202,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Rockefeller Foundation",203,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Pat and John Rosenwald",204,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Jack and Susan Rudin, in memory of Lewis Rudin",205,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Fan Fox and Leslie R. Samuels",206,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mrs. Julio Mario Santo Domingo",207,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Henry and Elizabeth Segerstrom",208,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mr. and Mrs. Arthur T. Shorin",209,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mr. and Mrs. Stanley S. Shuman",210,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Henry Shweid and Margaret Munzika",211,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Shweid Trust",212,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Siemens Corporation",213,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mr. and Mrs. A. J. C. Smith",214,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Sony Corporation of America & Sony Music Entertainment Inc.",215,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Jerry I. Speyer and Katherine G. Farley",216,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mr. and Mrs. Isaac Stern",217,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Tishman Fund for Education through Technology",218,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Alice Tully Foundation",219,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"U.S. Department of Housing and Urban Development",220,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Verizon Foundation",221,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Alberto Vilar",222,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Linda J. Wachner and Warnaco Inc.",223,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Weiler Fund",224,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Mrs. Charles B. Wrightsman",225,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Judy Francis Zankel",226,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"The Zankel Fund",227,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Zankel Charitable Lead Trust",228,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"Ann Ziff",229,Carnegie Hall,"$1,000,000-$2,499,999",2013,1000000,2499999
DONOR,"American Express",230,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Booth Ferris Foundation",231,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"CIBC Oppenheimer",232,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Charles E. Culpeper Foundation, Inc.",233,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"The Eleanor Naylor Dana Charitable Trust",234,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"George David",235,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Estate of Mrs. Eugenia Doll",236,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Ernst & Young LLP",237,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"The Sherman Fairchild Foundation, Inc.",238,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"FleetBoston Financial",239,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Fribourg Foundation Inc. and Mr. and Mrs. Raphael Recanati",240,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Estate of Rita L. Gluck",241,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"The Marilyn Horne Foundation",242,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Mr. and Mrs. Carl C. Icahn",243,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Carl Jacobs Foundation",244,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Stella and Robert Jones",245,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Gilbert and Lena Kaplan",246,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"The J.M. Kaplan Fund, Inc.",247,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Diane G. Kranz",248,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Lincoln-Mercury",249,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Mr. and Mrs. Thomas G. Maheras",250,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Marsh & McLennan Companies, Inc.",251,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"The McGraw-Hill Companies",252,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Lauren and J. Ezra Merkin",253,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Merrill Lynch & Co., Inc.",254,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Metropolitan Life Foundation",255,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"Mrs. Milton Petrie",256,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
DONOR,"The William Petschek Family",257,Carnegie Hall,"$500,000-$999,999",2013,500000,999999
